ticker,symbol,name,sector,industry,marketCapCr
SPARC.NS,SPARC,"Sun Pharma Advanced Research Company Limited","Healthcare","Drug Manufacturers - Specialty & Generic",4311
INDIQUBE.NS,INDIQUBE,"INDIQUBE SPACES LIMITED","Real Estate","Real Estate Services",4306
HERITGFOOD.NS,HERITGFOOD,"Heritage Foods Limited","Consumer Defensive","Packaged Foods",4302
SABTNL.NS,SABTNL,"SRI ADHIKARI BRO TELE N L","Communication Services","Broadcasting",4302
PRECWIRE.NS,PRECWIRE,"Precision Wires India Limited","Industrials","Electrical Equipment & Parts",4297
VSTIND.NS,VSTIND,"VST Industries Limited","Consumer Defensive","Tobacco",4295
GUJTHEM.NS,GUJTHEM,"Gujarat Themis Biosyn Limited","Healthcare","Drug Manufacturers - Specialty & Generic",4285
NFL.NS,NFL,"National Fertilizers Limited","Basic Materials","Agricultural Inputs",4276
SGMART.NS,SGMART,"SG Mart Limited","Industrials","Industrial Distribution",4258
PACEDIGITK.NS,PACEDIGITK,"Pace Digitek Limited","Technology","Communication Equipment",4236
EMIL.NS,EMIL,"Electronics Mart India Limited","Consumer Cyclical","Specialty Retail",4217
GREAVESCOT.NS,GREAVESCOT,"Greaves Cotton Limited","Industrials","Specialty Industrial Machinery",4209
ORCHPHARMA.NS,ORCHPHARMA,"Orchid Pharma Limited","Healthcare","Drug Manufacturers - Specialty & Generic",4209
GOLDIAM.NS,GOLDIAM,"Goldiam International Limited","Consumer Cyclical","Luxury Goods",4208
REFEX.NS,REFEX,"Refex Industries Limited","Energy","Thermal Coal",4193
JKIL.NS,JKIL,"J. Kumar Infraprojects Limited","Industrials","Engineering & Construction",4165
IBULLSLTD.NS,IBULLSLTD,"INDIABULLS LIMITED","Real Estate","Real Estate - Development",4146
EFCIL.NS,EFCIL,"EFC (I) Limited","Real Estate","Real Estate Services",4121
JCHAC.NS,JCHAC,"Bosch Home Comfort India Limited","Consumer Cyclical","Furnishings, Fixtures & Appliances",4115
